query_id,engine,metric,value
P01A,shared,overlap_fraction,0.0
P01A,asta,topical_hit_rate,0.8
P01A,asta,topical_breadth,1
P01A,asta,currency_mean_year,2021.8
P01A,asta,citation_mean_log,3.9643
P01A,google_scholar,topical_hit_rate,0.9
P01A,google_scholar,topical_breadth,1
P01A,google_scholar,currency_mean_year,2024.4
P01A,google_scholar,citation_mean_log,3.0341
P01A,asta,calibration_rate,0.8
P01B,shared,overlap_fraction,0.1
P01B,asta,topical_hit_rate,1.0
P01B,asta,topical_breadth,1
P01B,asta,currency_mean_year,2022.7
P01B,asta,citation_mean_log,3.1004
P01B,google_scholar,topical_hit_rate,0.8
P01B,google_scholar,topical_breadth,1
P01B,google_scholar,currency_mean_year,2022.62
P01B,google_scholar,citation_mean_log,3.2206
P01B,asta,calibration_rate,1.0
P02A,shared,overlap_fraction,0.1
P02A,asta,topical_hit_rate,0.9
P02A,asta,topical_breadth,1
P02A,asta,currency_mean_year,2022.9
P02A,asta,citation_mean_log,2.8338
P02A,google_scholar,topical_hit_rate,1.0
P02A,google_scholar,topical_breadth,1
P02A,google_scholar,currency_mean_year,2023.3
P02A,google_scholar,citation_mean_log,2.7383
P02A,asta,calibration_rate,1.0
P02B,shared,overlap_fraction,0.0
P02B,asta,topical_hit_rate,0.6
P02B,asta,topical_breadth,2
P02B,asta,currency_mean_year,2021.4
P02B,asta,citation_mean_log,5.003
P02B,google_scholar,topical_hit_rate,1.0
P02B,google_scholar,topical_breadth,1
P02B,google_scholar,currency_mean_year,2024.0
P02B,google_scholar,citation_mean_log,2.3803
P02B,asta,calibration_rate,0.6
P03A,shared,overlap_fraction,0.1
P03A,asta,topical_hit_rate,0.9
P03A,asta,topical_breadth,1
P03A,asta,currency_mean_year,2022.2
P03A,asta,citation_mean_log,4.4572
P03A,google_scholar,topical_hit_rate,1.0
P03A,google_scholar,topical_breadth,1
P03A,google_scholar,currency_mean_year,2021.0
P03A,google_scholar,citation_mean_log,6.3244
P03A,asta,calibration_rate,0.9
P03B,shared,overlap_fraction,0.2
P03B,asta,topical_hit_rate,0.9
P03B,asta,topical_breadth,1
P03B,asta,currency_mean_year,2022.4
P03B,asta,citation_mean_log,4.3319
P03B,google_scholar,topical_hit_rate,1.0
P03B,google_scholar,topical_breadth,1
P03B,google_scholar,currency_mean_year,2023.7
P03B,google_scholar,citation_mean_log,3.4288
P03B,asta,calibration_rate,0.9
P04A,shared,overlap_fraction,0.2
P04A,asta,topical_hit_rate,0.9
P04A,asta,topical_breadth,1
P04A,asta,currency_mean_year,2021.4
P04A,asta,citation_mean_log,4.0753
P04A,google_scholar,topical_hit_rate,0.9
P04A,google_scholar,topical_breadth,1
P04A,google_scholar,currency_mean_year,2021.1
P04A,google_scholar,citation_mean_log,4.5399
P04A,asta,calibration_rate,0.9
P04B,shared,overlap_fraction,0.2
P04B,asta,topical_hit_rate,0.7
P04B,asta,topical_breadth,1
P04B,asta,currency_mean_year,2022.1
P04B,asta,citation_mean_log,3.7874
P04B,google_scholar,topical_hit_rate,1.0
P04B,google_scholar,topical_breadth,1
P04B,google_scholar,currency_mean_year,2022.5
P04B,google_scholar,citation_mean_log,3.3118
P04B,asta,calibration_rate,0.7
P05A,shared,overlap_fraction,0.0
P05A,asta,topical_hit_rate,0.9
P05A,asta,topical_breadth,2
P05A,asta,currency_mean_year,2022.67
P05A,asta,citation_mean_log,3.2233
P05A,google_scholar,topical_hit_rate,1.0
P05A,google_scholar,topical_breadth,1
P05A,google_scholar,currency_mean_year,2023.38
P05A,google_scholar,citation_mean_log,3.0903
P05A,asta,calibration_rate,0.8889
P05B,shared,overlap_fraction,0.0
P05B,asta,topical_hit_rate,1.0
P05B,asta,topical_breadth,1
P05B,asta,currency_mean_year,2022.4
P05B,asta,citation_mean_log,3.2513
P05B,google_scholar,topical_hit_rate,1.0
P05B,google_scholar,topical_breadth,1
P05B,google_scholar,currency_mean_year,2025.25
P05B,google_scholar,citation_mean_log,1.9201
P05B,asta,calibration_rate,1.0
P06A,shared,overlap_fraction,0.3
P06A,asta,topical_hit_rate,0.4
P06A,asta,topical_breadth,1
P06A,asta,currency_mean_year,2022.6
P06A,asta,citation_mean_log,2.7715
P06A,google_scholar,topical_hit_rate,0.8
P06A,google_scholar,topical_breadth,1
P06A,google_scholar,currency_mean_year,2024.44
P06A,google_scholar,citation_mean_log,2.9732
P06A,asta,calibration_rate,0.4
P06B,shared,overlap_fraction,0.4
P06B,asta,topical_hit_rate,0.7
P06B,asta,topical_breadth,1
P06B,asta,currency_mean_year,2022.3
P06B,asta,citation_mean_log,3.5644
P06B,google_scholar,topical_hit_rate,0.9
P06B,google_scholar,topical_breadth,1
P06B,google_scholar,currency_mean_year,2023.6
P06B,google_scholar,citation_mean_log,3.3996
P06B,asta,calibration_rate,0.7
P07A,shared,overlap_fraction,0.0
P07A,asta,topical_hit_rate,0.8
P07A,asta,topical_breadth,1
P07A,asta,currency_mean_year,2023.2
P07A,asta,citation_mean_log,3.717
P07A,google_scholar,topical_hit_rate,1.0
P07A,google_scholar,topical_breadth,1
P07A,google_scholar,currency_mean_year,2024.6
P07A,google_scholar,citation_mean_log,2.2618
P07A,asta,calibration_rate,0.8
P07B,shared,overlap_fraction,0.0
P07B,asta,topical_hit_rate,0.9
P07B,asta,topical_breadth,1
P07B,asta,currency_mean_year,2022.6
P07B,asta,citation_mean_log,4.0418
P07B,google_scholar,topical_hit_rate,1.0
P07B,google_scholar,topical_breadth,1
P07B,google_scholar,currency_mean_year,2022.3
P07B,google_scholar,citation_mean_log,2.7499
P07B,asta,calibration_rate,0.9
P08A,shared,overlap_fraction,0.0
P08A,asta,topical_hit_rate,0.7
P08A,asta,topical_breadth,1
P08A,asta,currency_mean_year,2022.1
P08A,asta,citation_mean_log,2.2333
P08A,google_scholar,topical_hit_rate,0.7
P08A,google_scholar,topical_breadth,1
P08A,google_scholar,currency_mean_year,2017.0
P08A,google_scholar,citation_mean_log,2.2719
P08A,asta,calibration_rate,0.25
P08B,shared,overlap_fraction,0.0
P08B,asta,topical_hit_rate,0.8
P08B,asta,topical_breadth,1
P08B,asta,currency_mean_year,2021.3
P08B,asta,citation_mean_log,3.8841
P08B,google_scholar,topical_hit_rate,1.0
P08B,google_scholar,topical_breadth,1
P08B,google_scholar,currency_mean_year,2023.43
P08B,google_scholar,citation_mean_log,2.8849
P08B,asta,calibration_rate,0.8
P09A,shared,overlap_fraction,0.1
P09A,asta,topical_hit_rate,0.5
P09A,asta,topical_breadth,2
P09A,asta,currency_mean_year,2023.0
P09A,asta,citation_mean_log,2.1559
P09A,google_scholar,topical_hit_rate,0.5
P09A,google_scholar,topical_breadth,2
P09A,google_scholar,currency_mean_year,2023.4
P09A,google_scholar,citation_mean_log,2.1956
P09A,asta,calibration_rate,1.0
P09B,shared,overlap_fraction,0.2
P09B,asta,topical_hit_rate,0.6
P09B,asta,topical_breadth,3
P09B,asta,currency_mean_year,2023.2
P09B,asta,citation_mean_log,2.1425
P09B,google_scholar,topical_hit_rate,0.7
P09B,google_scholar,topical_breadth,2
P09B,google_scholar,currency_mean_year,2023.2
P09B,google_scholar,citation_mean_log,2.7641
P09B,asta,calibration_rate,0.6
P10A,shared,overlap_fraction,0.4
P10A,asta,topical_hit_rate,1.0
P10A,asta,topical_breadth,1
P10A,asta,currency_mean_year,2022.8
P10A,asta,citation_mean_log,3.011
P10A,google_scholar,topical_hit_rate,1.0
P10A,google_scholar,topical_breadth,1
P10A,google_scholar,currency_mean_year,2023.7
P10A,google_scholar,citation_mean_log,3.5248
P10A,asta,calibration_rate,1.0
P10B,shared,overlap_fraction,0.4
P10B,asta,topical_hit_rate,1.0
P10B,asta,topical_breadth,1
P10B,asta,currency_mean_year,2023.7
P10B,asta,citation_mean_log,2.5297
P10B,google_scholar,topical_hit_rate,1.0
P10B,google_scholar,topical_breadth,1
P10B,google_scholar,currency_mean_year,2024.67
P10B,google_scholar,citation_mean_log,2.6894
P10B,asta,calibration_rate,1.0
P11A,shared,overlap_fraction,0.0
P11A,asta,topical_hit_rate,0.3
P11A,asta,topical_breadth,3
P11A,asta,currency_mean_year,2023.1
P11A,asta,citation_mean_log,3.1489
P11A,google_scholar,topical_hit_rate,1.0
P11A,google_scholar,topical_breadth,1
P11A,google_scholar,currency_mean_year,2025.0
P11A,google_scholar,citation_mean_log,0.6931
P11A,asta,calibration_rate,0.3
P11B,shared,overlap_fraction,0.0
P11B,asta,topical_hit_rate,0.6
P11B,asta,topical_breadth,3
P11B,asta,currency_mean_year,2025.1
P11B,asta,citation_mean_log,2.805
P11B,google_scholar,topical_hit_rate,0.8
P11B,google_scholar,topical_breadth,1
P11B,google_scholar,currency_mean_year,2023.5
P11B,google_scholar,citation_mean_log,4.2109
P11B,asta,calibration_rate,0.6
P12A,shared,overlap_fraction,0.2
P12A,asta,topical_hit_rate,0.7
P12A,asta,topical_breadth,3
P12A,asta,currency_mean_year,2024.0
P12A,asta,citation_mean_log,2.971
P12A,google_scholar,topical_hit_rate,0.9
P12A,google_scholar,topical_breadth,1
P12A,google_scholar,currency_mean_year,2024.78
P12A,google_scholar,citation_mean_log,1.6887
P12A,asta,calibration_rate,0.6667
P12B,shared,overlap_fraction,0.1
P12B,asta,topical_hit_rate,0.9
P12B,asta,topical_breadth,1
P12B,asta,currency_mean_year,2022.7
P12B,asta,citation_mean_log,3.2618
P12B,google_scholar,topical_hit_rate,0.7
P12B,google_scholar,topical_breadth,3
P12B,google_scholar,currency_mean_year,2025.11
P12B,google_scholar,citation_mean_log,1.6872
P12B,asta,calibration_rate,0.9
P13A,shared,overlap_fraction,0.4
P13A,asta,topical_hit_rate,0.9
P13A,asta,topical_breadth,1
P13A,asta,currency_mean_year,2023.4
P13A,asta,citation_mean_log,2.5634
P13A,google_scholar,topical_hit_rate,0.9
P13A,google_scholar,topical_breadth,1
P13A,google_scholar,currency_mean_year,2024.3
P13A,google_scholar,citation_mean_log,2.1842
P13A,asta,calibration_rate,0.9
P13B,shared,overlap_fraction,0.4
P13B,asta,topical_hit_rate,0.7
P13B,asta,topical_breadth,2
P13B,asta,currency_mean_year,2023.7
P13B,asta,citation_mean_log,1.8585
P13B,google_scholar,topical_hit_rate,0.8
P13B,google_scholar,topical_breadth,2
P13B,google_scholar,currency_mean_year,2024.7
P13B,google_scholar,citation_mean_log,2.5012
P13B,asta,calibration_rate,0.8333
P14A,shared,overlap_fraction,0.2
P14A,asta,topical_hit_rate,0.5
P14A,asta,topical_breadth,2
P14A,asta,currency_mean_year,2021.9
P14A,asta,citation_mean_log,3.2532
P14A,google_scholar,topical_hit_rate,0.8
P14A,google_scholar,topical_breadth,1
P14A,google_scholar,currency_mean_year,2020.8
P14A,google_scholar,citation_mean_log,4.4384
P14A,asta,calibration_rate,0.5
P14B,shared,overlap_fraction,0.1
P14B,asta,topical_hit_rate,0.8
P14B,asta,topical_breadth,1
P14B,asta,currency_mean_year,2018.6
P14B,asta,citation_mean_log,4.0851
P14B,google_scholar,topical_hit_rate,0.8
P14B,google_scholar,topical_breadth,1
P14B,google_scholar,currency_mean_year,2018.9
P14B,google_scholar,citation_mean_log,4.4087
P14B,asta,calibration_rate,0.8
P15A,shared,overlap_fraction,0.0
P15A,asta,topical_hit_rate,0.5
P15A,asta,topical_breadth,1
P15A,asta,currency_mean_year,2023.6
P15A,asta,citation_mean_log,2.7809
P15A,google_scholar,topical_hit_rate,1.0
P15A,google_scholar,topical_breadth,1
P15A,google_scholar,citation_mean_log,0.6931
P15A,asta,calibration_rate,0.5
P15B,shared,overlap_fraction,0.1
P15B,asta,topical_hit_rate,0.7
P15B,asta,topical_breadth,1
P15B,asta,currency_mean_year,2022.6
P15B,asta,citation_mean_log,3.6408
P15B,google_scholar,topical_hit_rate,1.0
P15B,google_scholar,topical_breadth,1
P15B,google_scholar,currency_mean_year,2020.2
P15B,google_scholar,citation_mean_log,4.2167
P15B,asta,calibration_rate,0.7
P16A,shared,overlap_fraction,0.2
P16A,asta,topical_hit_rate,1.0
P16A,asta,topical_breadth,1
P16A,asta,currency_mean_year,2021.6
P16A,asta,citation_mean_log,3.9123
P16A,google_scholar,topical_hit_rate,1.0
P16A,google_scholar,topical_breadth,1
P16A,google_scholar,currency_mean_year,2022.3
P16A,google_scholar,citation_mean_log,3.7227
P16A,asta,calibration_rate,1.0
P16B,shared,overlap_fraction,0.1
P16B,asta,topical_hit_rate,0.9
P16B,asta,topical_breadth,1
P16B,asta,currency_mean_year,2022.4
P16B,asta,citation_mean_log,3.5239
P16B,google_scholar,topical_hit_rate,1.0
P16B,google_scholar,topical_breadth,1
P16B,google_scholar,currency_mean_year,2023.0
P16B,google_scholar,citation_mean_log,3.7909
P16B,asta,calibration_rate,0.9
P17A,shared,overlap_fraction,0.0
P17A,asta,topical_hit_rate,0.8
P17A,asta,topical_breadth,1
P17A,asta,currency_mean_year,2023.2
P17A,asta,citation_mean_log,2.2981
P17A,google_scholar,topical_hit_rate,0.9
P17A,google_scholar,topical_breadth,1
P17A,google_scholar,currency_mean_year,2024.71
P17A,google_scholar,citation_mean_log,2.3482
P17A,asta,calibration_rate,1.0
P17B,shared,overlap_fraction,0.0
P17B,asta,topical_hit_rate,0.8
P17B,asta,topical_breadth,2
P17B,asta,currency_mean_year,2023.0
P17B,asta,citation_mean_log,2.0581
P17B,google_scholar,topical_hit_rate,1.0
P17B,google_scholar,topical_breadth,1
P17B,google_scholar,currency_mean_year,2022.86
P17B,google_scholar,citation_mean_log,2.7436
P17B,asta,calibration_rate,0.8
P18A,shared,overlap_fraction,0.1
P18A,asta,topical_hit_rate,0.5
P18A,asta,topical_breadth,2
P18A,asta,currency_mean_year,2021.0
P18A,asta,citation_mean_log,2.5905
P18A,google_scholar,topical_hit_rate,0.5
P18A,google_scholar,topical_breadth,2
P18A,google_scholar,currency_mean_year,2022.3
P18A,google_scholar,citation_mean_log,2.4997
P18A,asta,calibration_rate,0.4286
P18B,shared,overlap_fraction,0.0
P18B,asta,topical_hit_rate,0.0
P18B,asta,topical_breadth,2
P18B,asta,currency_mean_year,2020.6
P18B,asta,citation_mean_log,2.7597
P18B,google_scholar,topical_hit_rate,0.6
P18B,google_scholar,topical_breadth,1
P18B,google_scholar,currency_mean_year,2022.0
P18B,google_scholar,citation_mean_log,2.753
P18B,asta,calibration_rate,0.0
P19A,shared,overlap_fraction,0.2
P19A,asta,topical_hit_rate,0.6
P19A,asta,topical_breadth,3
P19A,asta,currency_mean_year,2022.4
P19A,asta,citation_mean_log,3.1225
P19A,google_scholar,topical_hit_rate,0.9
P19A,google_scholar,topical_breadth,1
P19A,google_scholar,currency_mean_year,2022.7
P19A,google_scholar,citation_mean_log,3.0356
P19A,asta,calibration_rate,0.4
P19B,shared,overlap_fraction,0.2
P19B,asta,topical_hit_rate,0.5
P19B,asta,topical_breadth,1
P19B,asta,currency_mean_year,2021.3
P19B,asta,citation_mean_log,2.9002
P19B,google_scholar,topical_hit_rate,0.8
P19B,google_scholar,topical_breadth,2
P19B,google_scholar,currency_mean_year,2021.4
P19B,google_scholar,citation_mean_log,3.4212
P19B,asta,calibration_rate,0.5
P20A,shared,overlap_fraction,0.3
P20A,asta,topical_hit_rate,0.0
P20A,asta,topical_breadth,1
P20A,asta,currency_mean_year,2022.1
P20A,asta,citation_mean_log,2.677
P20A,google_scholar,topical_hit_rate,0.0
P20A,google_scholar,topical_breadth,1
P20A,google_scholar,currency_mean_year,2022.4
P20A,google_scholar,citation_mean_log,3.2421
P20A,asta,calibration_rate,0.0
P20B,shared,overlap_fraction,0.1
P20B,asta,topical_hit_rate,0.0
P20B,asta,topical_breadth,2
P20B,asta,currency_mean_year,2024.2
P20B,asta,citation_mean_log,2.2205
P20B,google_scholar,topical_hit_rate,0.0
P20B,google_scholar,topical_breadth,2
P20B,google_scholar,currency_mean_year,2025.0
P20B,google_scholar,citation_mean_log,1.7336
P20B,asta,calibration_rate,0.0
P21A,shared,overlap_fraction,0.3
P21A,asta,topical_hit_rate,0.6
P21A,asta,topical_breadth,2
P21A,asta,currency_mean_year,2023.0
P21A,asta,citation_mean_log,2.321
P21A,google_scholar,topical_hit_rate,0.5
P21A,google_scholar,topical_breadth,2
P21A,google_scholar,currency_mean_year,2022.5
P21A,google_scholar,citation_mean_log,2.3612
P21A,asta,calibration_rate,0.5
P21B,shared,overlap_fraction,0.1
P21B,asta,topical_hit_rate,0.4
P21B,asta,topical_breadth,2
P21B,asta,currency_mean_year,2022.7
P21B,asta,citation_mean_log,2.2661
P21B,google_scholar,topical_hit_rate,0.1
P21B,google_scholar,topical_breadth,2
P21B,google_scholar,currency_mean_year,2023.3
P21B,google_scholar,citation_mean_log,1.8877
P21B,asta,calibration_rate,0.4
P22A,shared,overlap_fraction,0.0
P22A,asta,topical_hit_rate,0.6
P22A,asta,topical_breadth,1
P22A,asta,currency_mean_year,2019.3
P22A,asta,citation_mean_log,2.7008
P22A,google_scholar,topical_hit_rate,0.8
P22A,google_scholar,topical_breadth,2
P22A,google_scholar,currency_mean_year,2017.8
P22A,google_scholar,citation_mean_log,3.8404
P22A,asta,calibration_rate,0.6
P22B,shared,overlap_fraction,0.0
P22B,asta,topical_hit_rate,0.5
P22B,asta,topical_breadth,1
P22B,asta,currency_mean_year,2022.9
P22B,asta,citation_mean_log,2.8769
P22B,google_scholar,topical_hit_rate,1.0
P22B,google_scholar,topical_breadth,1
P22B,google_scholar,currency_mean_year,2013.2
P22B,google_scholar,citation_mean_log,4.345
P22B,asta,calibration_rate,0.5
P23A,shared,overlap_fraction,0.0
P23A,asta,topical_hit_rate,0.5
P23A,asta,topical_breadth,2
P23A,asta,currency_mean_year,2022.5
P23A,asta,citation_mean_log,3.1607
P23A,google_scholar,topical_hit_rate,0.9
P23A,google_scholar,topical_breadth,2
P23A,google_scholar,currency_mean_year,2023.3
P23A,google_scholar,citation_mean_log,2.3617
P23A,asta,calibration_rate,0.6
P23B,shared,overlap_fraction,0.1
P23B,asta,topical_hit_rate,0.5
P23B,asta,topical_breadth,3
P23B,asta,currency_mean_year,2021.9
P23B,asta,citation_mean_log,2.9945
P23B,google_scholar,topical_hit_rate,0.9
P23B,google_scholar,topical_breadth,2
P23B,google_scholar,currency_mean_year,2020.4
P23B,google_scholar,citation_mean_log,3.6618
P23B,asta,calibration_rate,0.5
P24A,shared,overlap_fraction,0.0
P24A,asta,topical_hit_rate,0.6
P24A,asta,topical_breadth,2
P24A,asta,currency_mean_year,2014.6
P24A,asta,citation_mean_log,3.035
P24A,google_scholar,topical_hit_rate,1.0
P24A,google_scholar,topical_breadth,1
P24A,google_scholar,currency_mean_year,2007.0
P24A,google_scholar,citation_mean_log,2.8003
P24A,asta,calibration_rate,0.6
P24B,shared,overlap_fraction,0.0
P24B,asta,topical_hit_rate,0.7
P24B,asta,topical_breadth,2
P24B,asta,currency_mean_year,2017.8
P24B,asta,citation_mean_log,3.0167
P24B,google_scholar,topical_hit_rate,0.9
P24B,google_scholar,topical_breadth,1
P24B,google_scholar,currency_mean_year,2007.0
P24B,google_scholar,citation_mean_log,2.881
P24B,asta,calibration_rate,0.7
P25A,shared,overlap_fraction,0.1
P25A,asta,topical_hit_rate,0.2
P25A,asta,topical_breadth,1
P25A,asta,currency_mean_year,2024.44
P25A,asta,citation_mean_log,2.6071
P25A,google_scholar,topical_hit_rate,0.2
P25A,google_scholar,topical_breadth,2
P25A,google_scholar,currency_mean_year,2024.2
P25A,google_scholar,citation_mean_log,2.9174
P25A,asta,calibration_rate,0.25
P25B,shared,overlap_fraction,0.0
P25B,asta,topical_hit_rate,0.2
P25B,asta,topical_breadth,1
P25B,asta,currency_mean_year,2024.2
P25B,asta,citation_mean_log,2.7198
P25B,google_scholar,topical_hit_rate,0.1
P25B,google_scholar,topical_breadth,2
P25B,google_scholar,currency_mean_year,2025.0
P25B,google_scholar,citation_mean_log,1.9081
P25B,asta,calibration_rate,0.2
